station_id,name,lat,lon,address,capacity,ward_id,first_use
7314,Queen St. E / Eastern Ave,43.667208,-79.312315,Queen St. E / Eastern Ave,15,19,2018-06-22
7315,Queen St E / Hammersmith Ave,43.671349,-79.29451,Queen St E / Hammersmith Ave,11,19,2018-06-26
7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,Queen St. E / Spruce Hill Rd.,15,19,2018-06-27
7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,Hubbard Blvd / Balsam Av,19,19,2018-06-27
7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,Hubbard Blvd. / Glen Manor Dr.,15,19,2018-06-26
7319,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,Lake Shore Blvd E / Knox Ave,11,14,2018-06-26
7320,Front St W / University Ave (1),43.6451635,-79.3831757,Front St W / University Ave (1),17,10,2018-06-29
7321,Front St W / University Ave (2),43.6452972,-79.3827914,Front St W / University Ave (2),19,10,2018-06-29
7322,E Liberty St / Western Battery Rd,43.6392777,-79.4115736,E Liberty St / Western Battery Rd,18,10,2018-06-29
7323,457 King St W,43.6452091,-79.3960744,457 King St W.,19,10,2018-06-29
7324,King St W / Charlotte St,43.645572,-79.39399,King St W / Charlotte St,23,10,2018-06-29
7326,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,Davenport Rd / Landsdowne Rd,19,9,2018-07-04
7327,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,Davenport Rd / Oakwood Rd - SMART,16,9,2018-07-03
7328,Roxborough St W / Yonge St,43.678077,-79.390328,Roxborough St W / Yonge St,17,11,2018-07-04
7329,Crawford St / Queen St W,43.645665,-79.415345,Crawford St / Queen St W,19,10,2018-07-04
7331,Coxwell Ave / Plains Rd,43.69595,-79.328535,Coxwell Ave / Plains Rd,19,19,2018-07-07
7332,200 Bloor St E,43.671561,-79.38117,200 Bloor St. E.,23,11,2018-07-07
7333,King St E / Victoria St,43.6495789,-79.3762096,King St E / Victoria St,19,13,2018-07-06
7334,Simcoe St / Wellington St W North,43.6462176,-79.3855048,Simcoe St / Wellington St 2,15,10,2018-07-06
7335,Bay St / Bloor St W (West Side),43.669244,-79.3894,1188 Bay St,19,11,2018-07-06
7336,Queen St E / Alton Av,43.663912,-79.327987,Queen St E / Alton Av,19,14,2018-07-10
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,Gerrard Square Mall (1010 Gerrard St E),19,14,2018-07-10
7338,Logan Ave / Bain Ave,43.6720273,-79.3470557,Logan Ave / Bain Ave,11,14,2018-07-10
7339,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,Carlaw Ave / Strathcona Ave,15,14,2018-07-11
7340,Blake St / Boultbee Ave,43.672453,-79.338259,Blake St / Boultbee Ave,15,14,2018-07-12
7341,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,Eastern Ave / Winnifred Ave,14,14,2018-07-11
7342,Morse St / Eastern Ave,43.657991,-79.340075,Morse St / Eastern Ave,11,14,2018-07-11
7343,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,Alton Ave / Dundas St E (Greenwood Park),22,14,2018-07-12
7344,Cherry Beach,43.637764,-79.345359,Cherry Beach,49,14,2018-07-12
7345,Cherry Beach Sports Field (55 Unwin Ave),43.6408346,-79.3429074,Cherry Beach Sports Field (55 Unwin Ave),15,14,2018-07-12
7346,Logan Av / Gerrard St E,43.6672144,-79.3452697,Logan Av / Gerrard St E,15,14,2018-07-12
7347,Regal Rd / Dufferin St,43.673939,-79.441159,Regal Rd / Dufferin St,15,9,2018-07-12
7348,Pape Ave / Gamble Ave,43.690237,-79.350119,Pape Ave / Gamble Ave,19,14,2018-07-17
7349,Gamble Ave / Broadview Ave,43.689211,-79.35438,Gamble Ave / Broadview Ave,23,14,2018-07-17
7350,Broadview Ave / Westwood Ave,43.6848652,-79.356602,Broadview Ave/ Westwood Ave,23,14,2018-07-17
7351,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,Pretoria Av / Broadview Av,19,14,2018-07-18
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,Cosburn Ave / Donlands Ave,19,14,2018-07-19
7353,Fulton Ave / Pape Ave,43.68395,-79.347046,Fulton Ave / Pape Ave,19,14,2018-07-19
7354,Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084,Tommy Thompson Park (Leslie Street Spit),31,14,2018-07-18
7355,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,Beltline Trail / Chaplin Cres.,15,8,2018-08-15
7356,King St E / Berkeley St,43.651885,-79.3649,King St E / Ontario St.,17,13,2018-07-19
